mydata.org-property,rdf-type,relation,rdf type,relation,rdf type,relation,rdf type,relation,rdf type,relation,rdf type,relation,rdf type,relation
my-email,cco:Person,cco:uses,cco:EmailBox,obo:RO_0000056,cco:StasisOfTelecommunicationEndpointAssignment,obo:RO_0000057,cco:TelecommunicationEndpoint,cco:designated_by,cco:EmailAddress,cco:has_value,,,,
my-firstname,cco:Person,cco:designated_by,cco:PersonGivenName,cco:has_value,,,,,,,,,,
my-lastname,cco:Person,cco:designated_by,cco:PersonFamilyName,cco:has_value,,,,,,,,,,
my-birthdate,cco:Person,cco:is_object_of,cco:Birth,cco:occurs_on,cco:Day,cco:designated_by,cco:DateIdentifier,cco:has_value,,,,,,
my-mailingstreet,cco:Person,cco:agent_in,cco:ActOfResiding,obo:RO_0000057,cco:ResidentialFacility,cco:designated_by,cco:StreetAddress,cco:has_value,,,,,,
my-mailingcity,cco:Person,cco:agent_in,cco:ActOfResiding,obo:RO_0000057,cco:ResidentialFacility,obo:RO_0001025,cco:LocalAdministrativeRegion,cco:designated_by,cco:DesignativeName,cco:has_value,,,,
my-mailingstate,cco:Person,cco:agent_in,cco:ActOfResiding,obo:RO_0000057,cco:ResidentialFacility,obo:RO_0001025,cco:LocalAdministrativeRegion,obo:BFO_0000050,cco:FirstOrderAdministrativeRegion,cco:designated_by,cco:DesignativeName,cco:has_value,,
my-mailingpostcode,cco:Person,cco:agent_in,cco:ActOfResiding,obo:RO_0000057,cco:ResidentialFacility,obo:RO_0001025,cco:PostalZone,cco:designated_by,cco:PostalCode,cco:has_value,,,,
my-mailingcountry,cco:Person,cco:agent_in,cco:ActOfResiding,obo:RO_0000057,cco:ResidentialFacility,obo:RO_0001025,cco:LocalAdministrativeRegion,obo:BFO_0000050,cco:FirstOrderAdministrativeRegion,obo:BFO_0000050,cco:Country,cco:designated_by,cco:DesignativeName,cco:has_value
my-homephonenumber,cco:Person,cco:uses,cco:LandlineTelephone,obo:RO_0000056,cco:StasisOfTelecommunicationEndpointAssignment,obo:RO_0000057,cco:TelecommunicationEndpoint,cco:designated_by,cco:TelephoneNumber,cco:has_value,,,,
my-mobilephonenumber,cco:Person,cco:uses,cco:MobileTelephone,obo:RO_0000056,cco:StasisOfTelecommunicationEndpointAssignment,obo:RO_0000057,cco:TelecommunicationEndpoint,cco:designated_by,cco:TelephoneNumber,cco:has_value,,,,
my-employername,cco:Person,obo:RO_0000053,cco:OccupationRole,cco:has_organizational_context,cco:Organization,cco:designated_by,cco:DesignativeName,cco:has_value,,,,,,
my-employerindustry,cco:Organization,obo:RO_0000053,cco:Capability,cco:is_measured_by_nominal,cco:DescriptiveMeasurementContentEntity,cco:has_value,,,,,,,,
my-employerstreet,cco:Organization,cco:agent_in,cco:ActOfInhabitancy,cco:has_object,cco:Facility,cco:designated_by,cco:StreetAddress,cco:has_value,,,,,,
my-employercity,cco:Organization,cco:agent_in,cco:ActOfInhabitancy,cco:has_object,cco:Facility,obo:RO_0001025,cco:LocalAdministrativeRegion,cco:designated_by,cco:DesignativeName,cco:has_value,,,,
my-employerstate,cco:Organization,cco:agent_in,cco:ActOfInhabitancy,cco:has_object,cco:Facility,obo:RO_0001025,cco:LocalAdministrativeRegion,obo:BFO_0000050,cco:FirstOrderAdministrativeRegion,cco:designated_by,cco:DesignativeName,cco:has_value,,
my-employerpostcode,cco:Organization,cco:agent_in,cco:ActOfInhabitancy,cco:has_object,cco:Facility,obo:RO_0001025,cco:PostalZone,cco:designated_by,cco:PostalCode,cco:has_value,,,,
my-employercountry,cco:Organization,cco:agent_in,cco:ActOfInhabitancy,cco:has_object,cco:Facility,obo:RO_0001025,cco:LocalAdministrativeRegion,obo:BFO_0000050,cco:FirstOrderAdministrativeRegion,obo:BFO_0000050,cco:Country,cco:designated_by,cco:DesignativeName,cco:has_value
my-employerphone,cco:Organization,cco:agent_in,cco:ActOfOwnership,cco:has_object,cco:Telephone,obo:RO_0000056,cco:StasisOfTelecommunicationEndpointAssignment,obo:RO_0000057,cco:TelecommunicationEndpoint,cco:designated_by,cco:TelephoneNumber,cco:has_value,,
my-employerfax,cco:Organization,cco:agent_in,cco:ActOfOwnership,cco:has_object,cco:FacsimileMachine,obo:RO_0000056,cco:StasisOfTelecommunicationEndpointAssignment,obo:RO_0000057,cco:TelecommunicationEndpoint,cco:designated_by,cco:FacsimileMachineNumber,cco:has_value,,
my-employeetitle,cco:Person,obo:RO_0000053,cco:OccupationRole,cco:described_by,cco:NominalMeasurementInformationContentEntity,cco:has_value,,,,,,,,
